Voltage(V),chargeCapacity,Current(A),Temperature (C)_1,Temperature (C)_2
3.358855009,0,0,30.22749519,30.15122414
3.672473192,9.88E-06,1.178439021,30.30198288,30.10701942
3.600762844,0.001213809,0.874354541,30.25799942,30.3311348
3.601070404,0.002378595,0.852279365,30.30198288,30.22593117
3.600762844,0.0035131,0.833222985,30.33248329,30.12072182
3.601070404,0.004620479,0.816430748,30.34596634,30.30063438
3.601070404,0.005702794,0.800959289,30.16648674,30.22593117
3.601070404,0.00675817,0.786808491,30.31546593,30.15122414
3.601070404,0.007797288,0.773223758,30.38994598,30.19543076
3.600762844,0.008811129,0.760016441,30.46442413,30.09021378
3.601070404,0.009803402,0.74756372,30.38994598,30.09021378
3.601070404,0.010774434,0.735111058,30.42044449,30.16492462
3.600762844,0.01172434,0.722658396,30.38994598,30.23963165
3.600762844,0.012653172,0.710771799,30.46442413,30.12072182
3.601070404,0.013558108,0.698885143,30.46442413,30.1344223
3.600762844,0.014444658,0.68662113,30.40343475,30.1344223
3.601070404,0.015312354,0.674545825,30.40343475,30.20913124
3.601070404,0.016155631,0.66247052,30.47790718,30.25333595
3.601070404,0.016977028,0.649829209,30.40343475,30.20913124
3.600762844,0.017776368,0.637187839,30.37294006,30.17862892
3.601070404,0.018553455,0.624735177,30.37294006,30.10391808
3.601070404,0.019308181,0.611527801,30.44741631,30.14812851
3.601070404,0.020040507,0.598697782,30.31195068,30.14812851
3.601378202,0.020750386,0.585301757,30.41692543,29.96819305
3.600762844,0.021437862,0.571717024,30.31195068,30.01240921
3.601070404,0.022102946,0.558132291,30.41692543,30.08712578
3.601070404,0.02274599,0.544547558,30.38643265,30.04291344
3.601070404,0.023366988,0.530774176,30.46090698,30.01240921
3.600762844,0.023966223,0.517000735,30.43041611,29.98190498
3.601070404,0.024543944,0.503227353,30.35593796,30.04291344
3.600762844,0.025098785,0.489453942,30.5353775,30.10084152
3.601070404,0.025634695,0.475491852,30.43041611,30.10084152
3.601070404,0.026151759,0.461907148,30.36943436,29.99562263
3.601070404,0.026647378,0.448322415,30.41342163,30.05662346
3.601070404,0.027123676,0.434737682,30.33894348,29.90411568
3.600762844,0.027581205,0.421341628,30.38293266,30.00934219
3.601070404,0.028020565,0.408134252,30.32195663,29.96512032
3.600455046,0.028442309,0.395492911,30.32195663,29.93461609
3.600762844,0.028847171,0.382662892,30.32195663,29.90411568
3.601378202,0.02923582,0.370021552,30.29146767,29.91784477
3.601070404,0.029608727,0.357946247,30.29146767,30.05356216
3.600762844,0.029966516,0.34605962,30.36595154,29.79888344
3.601070404,0.03030982,0.334361643,30.2609787,29.84311295
3.601070404,0.030639247,0.323041052,30.36595154,29.81261253
3.600762844,0.030955411,0.312286466,30.2609787,29.81261253
3.601378202,0.031257949,0.301343232,30.23049164,29.96207237
3.601070404,0.031549316,0.291343361,30.23049164,29.81261253
3.601378202,0.031830047,0.281154811,30.37946129,29.82634544
3.600762844,0.032098886,0.271720976,30.30497932,29.85684586
3.601070404,0.032357232,0.262098461,30.30497932,29.85684586
3.600762844,0.032605575,0.253230631,30.27449226,29.85684586
3.600762844,0.032844422,0.24455151,30.20000076,29.78211021
3.601070404,0.033074227,0.236249745,30.27449226,29.90107536
3.601070404,0.033295441,0.228136644,30.27449226,29.82634544
3.600762844,0.033507817,0.220400885,30.27449226,29.90107536
3.600762844,0.033713682,0.213042498,30.34897614,29.90107536
3.601070404,0.033911556,0.205872774,30.34897614,29.90107536
3.601070404,0.034102389,0.199080423,30.42345428,29.90107536
3.601070404,0.034286573,0.192665413,30.36248779,29.87057686
3.600762844,0.034464386,0.186250404,30.39296913,29.90107536
3.600762844,0.034636196,0.180212736,30.31848907,29.87057686
3.600762844,0.034801697,0.174363762,30.43696404,29.87057686
3.600762844,0.034962294,0.16889213,30.28800392,29.94530296
3.600762844,0.035118145,0.163420513,30.28800392,29.98953247
3.600762844,0.035268557,0.158514917,30.25751877,29.84008026
3.600762844,0.035414252,0.153609321,30.33200455,29.80958176
3.601070404,0.035555457,0.148892403,30.4064827,29.88431168
3.601070404,0.035692299,0.144364163,30.25751877,29.92854691
3.600762844,0.035825294,0.140213266,30.48096085,29.85381889
3.601070404,0.035954385,0.136062384,30.37600517,29.95903778
3.601070404,0.036079765,0.132100165,30.30152321,29.95903778
3.601070404,0.036201544,0.12832664,30.37600517,29.88431168
3.600762844,0.036319916,0.124741778,30.34552193,29.92854691
3.601070404,0.036435076,0.121156916,30.42000198,29.92854691
3.600762844,0.036547104,0.117760733,30.42000198,29.89805031
3.601070404,0.03665617,0.114553228,30.42000198,29.89805031
3.601070404,0.036762379,0.111534402,30.34552193,29.7928257
3.601070404,0.036865534,0.108704247,30.34552193,29.89805031
3.600762844,0.036966468,0.10568542,30.38952446,29.86755753
3.600762844,0.037065177,0.103232622,30.46399879,29.7928257
3.601070404,0.037161155,0.100402474,30.53846931,29.76233101
3.601070404,0.037254841,0.097949676,30.31504059,29.80657005
3.600762844,0.037346307,0.095685557,30.40304756,29.83706665
3.600762844,0.037435639,0.093421429,30.40304756,29.91179848
3.601070404,0.037522881,0.090968639,30.37257004,29.80657005
3.600762844,0.037608246,0.08889319,30.31161499,29.98652267
3.601070404,0.0376917,0.08700642,30.26761055,29.77607727
3.601070404,0.037773327,0.084930979,30.41657257,29.78982925
3.600762844,0.037853219,0.082855538,30.35562325,29.91179848
3.601070404,0.037931423,0.081157446,30.31161499,29.86456108
3.600455046,0.038008019,0.079270676,30.23712921,29.80358315
3.601070404,0.038083005,0.077572584,30.35562325,29.78982925
3.600762844,0.03815634,0.075874493,30.43009949,29.98352623
3.601070404,0.038228425,0.074176401,30.39962769,29.90880203
3.601070404,0.038299033,0.072855666,30.36915398,29.95304108
3.600762844,0.038368603,0.071157575,30.22018433,29.95304108
3.601070404,0.038436653,0.069648162,30.32514763,29.87831497
3.601070404,0.038503372,0.068516098,30.29467201,29.95304108
3.601070404,0.038568925,0.067006685,30.47410393,29.92255402
3.601070404,0.038633255,0.065497272,30.39962769,29.95304108
3.601070404,0.038696396,0.064365216,30.33868217,29.87831497
3.600762844,0.038758448,0.063233152,30.33868217,29.92255402
3.600762844,0.038819471,0.061912414,30.38269424,29.89207077
3.601070404,0.038879461,0.061157707,30.2641983,29.99728012
3.601070404,0.038938457,0.059648294,30.41316414,29.96679878
3.601070404,0.038996399,0.058704909,30.30821037,29.96679878
3.601070404,0.039053427,0.057761528,30.30821037,29.89207077
3.600762844,0.039109519,0.056818143,30.33868217,29.96679878
3.601070404,0.039164545,0.055686083,30.38269424,29.93631554
3.601070404,0.039218797,0.054554019,30.38269424,29.93631554
3.601070404,0.039272502,0.053610638,30.38269424,29.89207077
3.601070404,0.039325203,0.052855931,30.38269424,29.93631554
3.601070404,0.039377119,0.051912546,30.38269424,30.01103783
3.601070404,0.03942824,0.05115784,30.38269424,29.93631554
3.601070404,0.039478572,0.050403133,30.38269424,30.08575439
3.600762844,0.039528228,0.049648426,30.38269424,30.08575439
